,Unnamed: 0,UID,GID,Area,JobName,Partition,ReqNodes,ReqCPUS,Timelimit,Submit,Start,Elapsed,Priority,State,ExitCode
96,96,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:28:54,03:55:41,1,COMPLETED,0:0
97,97,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:29:18,03:56:11,1,COMPLETED,0:0
98,98,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:29:24,04:01:18,1,COMPLETED,0:0
99,99,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:33:04,04:03:18,1,COMPLETED,0:0
100,100,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:33:27,04:00:52,1,COMPLETED,0:0
101,101,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:33:56,03:54:01,1,COMPLETED,0:0
102,102,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T22:03:27,03:48:35,1,COMPLETED,0:0
103,103,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T22:08:55,03:55:48,1,COMPLETED,0:0
104,104,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T22:11:55,03:55:42,1,COMPLETED,0:0
105,105,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T22:15:27,03:52:46,1,COMPLETED,0:0
106,106,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T22:18:55,04:00:09,1,COMPLETED,0:0
107,107,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T22:38:27,03:56:10,1,COMPLETED,0:0
108,108,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T22:52:27,03:55:49,1,COMPLETED,0:0
109,109,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T22:54:55,03:49:28,1,COMPLETED,0:0
110,110,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T22:56:27,03:54:27,1,COMPLETED,0:0
111,111,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T22:56:55,03:57:52,1,COMPLETED,0:0
112,112,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T22:59:55,03:59:19,1,COMPLETED,0:0
113,113,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T22:59:59,03:58:38,1,COMPLETED,0:0
114,114,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T23:04:29,03:56:27,1,COMPLETED,0:0
115,115,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T23:23:29,03:57:33,1,COMPLETED,0:0
116,116,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T23:27:55,03:58:12,1,COMPLETED,0:0
117,117,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T23:28:00,04:01:39,1,COMPLETED,0:0
118,118,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T23:28:55,03:56:48,1,COMPLETED,0:0
119,119,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T23:29:30,03:49:09,1,COMPLETED,0:0
120,120,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T23:29:55,03:56:58,1,COMPLETED,0:0
121,121,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T23:31:55,03:59:18,1,COMPLETED,0:0
122,122,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T23:32:55,04:25:07,1,COMPLETED,0:0
123,123,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T23:35:55,04:00:00,1,COMPLETED,0:0
124,124,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T23:39:55,04:02:20,1,COMPLETED,0:0
125,125,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T23:41:30,04:02:33,1,COMPLETED,0:0
126,126,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T23:41:30,04:02:35,1,COMPLETED,0:0
127,127,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T23:44:30,03:55:15,1,COMPLETED,0:0
128,128,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T23:45:55,03:56:52,1,COMPLETED,0:0
129,129,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T23:56:55,03:56:34,1,COMPLETED,0:0
130,130,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T23:59:30,04:26:38,1,COMPLETED,0:0
131,131,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:03:55,04:11:42,1,COMPLETED,0:0
132,132,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:04:55,03:54:53,1,COMPLETED,0:0
133,133,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:08:02,03:55:43,1,COMPLETED,0:0
134,134,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:08:32,04:25:38,1,COMPLETED,0:0
135,135,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:18:32,03:58:43,1,COMPLETED,0:0
136,136,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:22:32,03:59:59,1,COMPLETED,0:0
137,137,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:22:32,03:55:40,1,COMPLETED,0:0
138,138,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:23:55,04:00:13,1,COMPLETED,0:0
139,139,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:28:32,03:55:13,1,COMPLETED,0:0
140,140,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:28:32,03:57:31,1,COMPLETED,0:0
141,141,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:30:55,03:58:26,1,COMPLETED,0:0
142,142,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:31:32,04:00:24,1,COMPLETED,0:0
143,143,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:31:32,04:00:23,1,COMPLETED,0:0
144,144,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:31:32,04:33:38,1,COMPLETED,0:0
145,145,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:32:02,04:00:45,1,COMPLETED,0:0
146,146,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:32:32,03:58:01,1,COMPLETED,0:0
147,147,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:35:32,03:58:57,1,COMPLETED,0:0
148,148,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:36:02,03:56:17,1,COMPLETED,0:0
149,149,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:36:28,03:55:25,1,COMPLETED,0:0
150,150,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:37:32,03:57:51,1,COMPLETED,0:0
151,151,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:38:02,03:56:09,1,COMPLETED,0:0
152,152,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:38:02,04:02:18,1,COMPLETED,0:0
153,153,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:38:02,03:52:52,1,COMPLETED,0:0
154,154,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:38:55,04:01:30,1,COMPLETED,0:0
155,155,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:40:32,03:50:33,1,COMPLETED,0:0
156,156,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:40:55,03:58:36,1,COMPLETED,0:0
157,157,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:41:32,03:55:57,1,COMPLETED,0:0
158,158,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:41:55,04:00:23,1,COMPLETED,0:0
159,159,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:42:02,03:51:11,1,COMPLETED,0:0
160,160,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:42:02,03:57:46,1,COMPLETED,0:0
161,161,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:42:02,03:55:58,1,COMPLETED,0:0
162,162,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:42:32,04:24:28,1,COMPLETED,0:0
163,163,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:43:32,03:56:07,1,COMPLETED,0:0
164,164,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:43:32,04:15:50,1,COMPLETED,0:0
165,165,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:44:32,04:29:33,1,COMPLETED,0:0
166,166,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:46:32,03:57:51,1,COMPLETED,0:0
167,167,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:46:55,03:53:05,1,COMPLETED,0:0
168,168,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:47:32,03:54:58,1,COMPLETED,0:0
169,169,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:47:32,03:55:49,1,COMPLETED,0:0
170,170,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:47:32,03:53:22,1,COMPLETED,0:0
171,171,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:47:55,03:59:37,1,COMPLETED,0:0
172,172,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-09-01T00:47:55,03:51:59,1,COMPLETED,0:0
